"Checkout Payment Methods","Способы оплаты"
"Payment Methods","Способы оплаты"
"Message to seller","Комментарий к заказу"
"Items in cart","Товары в корзине"
"Promo code","Купон код"
"Add Order","Разместить заказ"
"Branch","Отделение"
"Select Region","Выбрать регион"
"Select City","Выбрать город"
"Select Branch","Выбрать Отделение"
"Shipping information details","Детали до доставки"
"Your order number is: <strong>%1<strong>","Номер вашего заказа: <strong>%1</strong>"
"Please fill all fields","Заполните все поля"
"Please select Shipping method","Выберите способ доставки"
"Please select Payment method","Выберите Способ оплаты"
"Please fill all fields for Nova Poshta Branch","Заполните все поля для отделения Новой Почты"
"Checkouts","Оформить заказ"
"Please check all data and try again","Проверьте все данные и попробуйте еще раз"
